n time1 time2
3742 0.000040 0.000081
3752 0.000040 0.000078
3762 0.000040 0.000077
3772 0.000040 0.000079
3782 0.000040 0.000079
3792 0.000040 0.000079
3802 0.000041 0.000080
3812 0.000041 0.000082
3822 0.000040 0.000083
3832 0.000040 0.000080
3842 0.000041 0.000080
3852 0.000046 0.000081
3862 0.000041 0.000081
3872 0.000042 0.000082
3882 0.000041 0.000082
3892 0.000042 0.000082
3902 0.000041 0.000082
3912 0.000042 0.000085
3922 0.000041 0.000082
3932 0.000042 0.000082
3942 0.000042 0.000083
3952 0.000042 0.000085
3962 0.000042 0.000083
3972 0.000045 0.000086
3982 0.000050 0.000093
3992 0.000044 0.000084
4002 0.000043 0.000084
4012 0.000043 0.000086
4022 0.000043 0.000083
4032 0.000043 0.000084
4042 0.000045 0.000089
4052 0.000044 0.000086
4062 0.000044 0.000087
4072 0.000046 0.000087
4082 0.000044 0.000088
4092 0.000043 0.000088
4102 0.000044 0.000086
4112 0.000044 0.000086
4122 0.000153 0.000287
4132 0.000045 0.000088
4142 0.000044 0.000087
4152 0.000044 0.000091
4162 0.000044 0.000088
4172 0.000044 0.000088
4182 0.000045 0.000088
4192 0.000044 0.000091
4202 0.000044 0.000088
4212 0.000045 0.000088
4222 0.000045 0.000087
4232 0.000046 0.000094
4242 0.000048 0.000089
4252 0.000046 0.000090
4262 0.000045 0.000090
4272 0.000045 0.000089
4282 0.000048 0.000088
4292 0.000046 0.000088
4302 0.000046 0.000093
4312 0.000046 0.000090
4322 0.000046 0.000089
4332 0.000047 0.000094
4342 0.000047 0.000094
4352 0.000046 0.000092
4362 0.000047 0.000092
4372 0.000047 0.000092
4382 0.000047 0.000093
4392 0.000047 0.000091
4402 0.000047 0.000092
4412 0.000047 0.000092
4422 0.000047 0.000094
4432 0.000051 0.000094
4442 0.000048 0.000094
4452 0.000054 0.000092
4462 0.000047 0.000094
4472 0.000048 0.000094
4482 0.000048 0.000098
4492 0.000048 0.000094
4502 0.000053 0.000100
4512 0.000048 0.000094
4522 0.000048 0.000096
4532 0.000048 0.000096
4542 0.000048 0.000095
4552 0.000048 0.000096
4562 0.000048 0.000096
4572 0.000048 0.000100
4582 0.000049 0.000095
4592 0.000049 0.000099
4602 0.000049 0.000097
4612 0.000049 0.000096
4622 0.000049 0.000098
4632 0.000168 0.000328
4642 0.000056 0.000103
4652 0.000058 0.000114
4662 0.000057 0.000111
4672 0.000056 0.000104
4682 0.000051 0.000104
4692 0.000052 0.000099
4702 0.000050 0.000104
4712 0.000058 0.000105
4722 0.000052 0.000105
4732 0.000053 0.000103
4742 0.000051 0.000101
4752 0.000051 0.000105
4762 0.000052 0.000101
4772 0.000053 0.000101
4782 0.000053 0.000108
4792 0.000055 0.000107
4802 0.000053 0.000105
4812 0.000052 0.000101
4822 0.000062 0.000101
4832 0.000051 0.000102
4842 0.000051 0.000102
4852 0.000052 0.000106
4862 0.000051 0.000102
4872 0.000054 0.000107
4882 0.000053 0.000109
4892 0.000053 0.000109
4902 0.000054 0.000106
4912 0.000053 0.000105
4922 0.000053 0.000108
4932 0.000053 0.000105
4942 0.000057 0.000105
4952 0.000055 0.000111
4962 0.000054 0.000105
4972 0.000055 0.000111
4982 0.000057 0.000106
4992 0.000055 0.000106
5002 0.000053 0.000110
5012 0.000054 0.000106
5022 0.000058 0.000106
5032 0.000055 0.000113
5042 0.000055 0.000107
5052 0.000055 0.000108
5062 0.000055 0.000109
5072 0.000059 0.000107
5082 0.000054 0.000107
5092 0.000054 0.000107
5102 0.000054 0.000113
5112 0.000056 0.000110
5122 0.000055 0.000109
5132 0.000057 0.000113
5142 0.000060 0.000108
5152 0.000073 0.000116
5162 0.000056 0.000114
5172 0.000056 0.000109
5182 0.000060 0.000111
5192 0.000057 0.000109
5202 0.000056 0.000109
5212 0.000062 0.000108
5222 0.000057 0.000113
5232 0.000057 0.000111
5242 0.000056 0.000113
5252 0.000057 0.000111
5262 0.000057 0.000111
5272 0.000059 0.000115
5282 0.000063 0.000112
5292 0.000058 0.000117
5302 0.000058 0.000112
5312 0.000061 0.000113
5322 0.000057 0.000113
5332 0.000060 0.000119
5342 0.000057 0.000119
5352 0.000063 0.000117
5362 0.000061 0.000115
5372 0.000059 0.000120
5382 0.000059 0.000113
5392 0.000058 0.000115
5402 0.000058 0.000114
5412 0.000058 0.000115
5422 0.000058 0.000118
5432 0.000059 0.000120
5442 0.000059 0.000116
5452 0.000061 0.000118
5462 0.000062 0.000115
5472 0.000058 0.000118
5482 0.000060 0.000116
5492 0.000063 0.000116
5502 0.000059 0.000116
5512 0.000060 0.000117
5522 0.000060 0.000123
5532 0.000059 0.000125
5542 0.000060 0.000117
5552 0.000060 0.000121
5562 0.000059 0.000118
5572 0.000060 0.000117
5582 0.000060 0.000129
5592 0.000061 0.000120
5602 0.000060 0.000119
5612 0.000062 0.000120
5622 0.000065 0.000120
5632 0.000062 0.000120
5642 0.000060 0.000119
5652 0.000061 0.000118
5662 0.000060 0.000128
5672 0.000062 0.000122
5682 0.000061 0.000120
5692 0.000062 0.000123
5702 0.000061 0.000120
5712 0.000061 0.000125
5722 0.000061 0.000121
5732 0.000062 0.000122
5742 0.000068 0.000125
5752 0.000071 0.000127
5762 0.000068 0.000123
5772 0.000063 0.000127
5782 0.000064 0.000124
5792 0.000062 0.000127
5802 0.000062 0.000123
5812 0.000062 0.000123
5822 0.000064 0.000125
5832 0.000067 0.000125
5842 0.000065 0.000133
5852 0.000063 0.000161
5862 0.000063 0.000125
5872 0.000064 0.000130
5882 0.000063 0.000125
5892 0.000063 0.000126
5902 0.000065 0.000127
5912 0.000064 0.000126
5922 0.000066 0.000130
5932 0.000065 0.000127
5942 0.000064 0.000131
5952 0.000064 0.000127
5962 0.000064 0.000131
5972 0.000064 0.000128
5982 0.000066 0.000129
5992 0.000065 0.000140
6002 0.000066 0.000131
6012 0.000065 0.000127
6022 0.000064 0.000133
6032 0.000068 0.000128
6042 0.000067 0.000130
6052 0.000069 0.000129
6062 0.000066 0.000136
6072 0.000067 0.000137
6082 0.000066 0.000131
6092 0.000066 0.000130
6102 0.000066 0.000130
6112 0.000066 0.000130
6122 0.000066 0.000129
6132 0.000067 0.000135
6142 0.000066 0.000135
6152 0.000068 0.000133
6162 0.000069 0.000142
6172 0.000066 0.000136
6182 0.000066 0.000132
6192 0.000066 0.000132
6202 0.000066 0.000132
6212 0.000465 0.000207
6222 0.000071 0.000141
6232 0.000068 0.000134
6242 0.000071 0.000145
6252 0.000071 0.000146
6262 0.000069 0.000180
6272 0.000072 0.000141
6282 0.000068 0.000140
6292 0.000078 0.000144
6302 0.000075 0.000146
6312 0.000078 0.000144
6322 0.000071 0.000165
6332 0.000079 0.000144
6342 0.000078 0.000148
6352 0.000081 0.000139
6362 0.000085 0.000141
6372 0.000078 0.000165
6382 0.000077 0.000878
6392 0.000082 0.000149
6402 0.000071 0.000168
6412 0.000089 0.000147
6422 0.000087 0.000151
6432 0.000079 0.000152
6442 0.000074 0.000143
6452 0.000075 0.000141
6462 0.000075 0.000144
6472 0.000077 0.000151
6482 0.000074 0.000148
6492 0.000072 0.000147
6502 0.000214 0.000159
6512 0.000075 0.000169
6522 0.000080 0.000140
6532 0.000077 0.000141
6542 0.000082 0.000149
6552 0.000071 0.000145
6562 0.000081 0.000148
6572 0.000073 0.000154
6582 0.000074 0.000156
6592 0.000073 0.000148
6602 0.000077 0.000146
6612 0.000072 0.000144
6622 0.000071 0.000165
6632 0.000081 0.000152
6642 0.000074 0.000294
6652 0.000098 0.000155
6662 0.000076 0.000147
6672 0.000074 0.000145
6682 0.000073 0.000144
6692 0.000072 0.000146
6702 0.000077 0.000150
6712 0.000080 0.000158
6722 0.000078 0.000146
6732 0.000078 0.000150
6742 0.000075 0.000149
6752 0.000073 0.000143
6762 0.000073 0.000149
6772 0.000078 0.000151
6782 0.000079 0.000160
6792 0.000075 0.000150
6802 0.000074 0.000146
6812 0.000073 0.000149
6822 0.000073 0.000146
6832 0.000073 0.000146
6842 0.000144 0.000147
6852 0.000083 0.000159
6862 0.000076 0.000153
6872 0.000079 0.000149
6882 0.000075 0.000148
6892 0.000075 0.000148
6902 0.000074 0.000152
6912 0.000074 0.000151
6922 0.000077 0.000155
6932 0.000079 0.000147
6942 0.000077 0.000153
6952 0.000121 0.000206
6962 0.000082 0.000163
6972 0.000081 0.000163
6982 0.000077 0.000156
6992 0.000082 0.000158
7002 0.000083 0.000159
7012 0.000080 0.000150
7022 0.000089 0.000193
7032 0.000079 0.000152
7042 0.000076 0.000155
7052 0.000075 0.000151
7062 0.000081 0.000160
7072 0.000078 0.000165
7082 0.000077 0.000157
7092 0.000077 0.000151
7102 0.000076 0.000159
7112 0.000076 0.000152
7122 0.000079 0.000156
7132 0.000090 0.000174
7142 0.000086 0.000156
7152 0.000078 0.000160
7162 0.000077 0.000153
7172 0.000077 0.000151
7182 0.000077 0.000154
7192 0.000077 0.000154
7202 0.000082 0.000154
7212 0.000082 0.000155
7222 0.000082 0.000157
7232 0.000079 0.000156
7242 0.000078 0.000157
7252 0.000078 0.000154
7262 0.000078 0.000160
7272 0.000078 0.000153
7282 0.000080 0.000158
7292 0.000083 0.000165
7302 0.000081 0.000162
7312 0.000082 0.000163
7322 0.000080 0.000159
7332 0.000079 0.000158
7342 0.000079 0.000156
7352 0.000083 0.000165
7362 0.000080 0.000162
7372 0.000080 0.000162
7382 0.000080 0.000158
7392 0.000084 0.000157
7402 0.000080 0.000162
7412 0.000080 0.000162
7422 0.000082 0.000173
7432 0.000088 0.000161
7442 0.000098 0.000172
7452 0.000086 0.000161
7462 0.000088 0.000168
7472 0.000085 0.000160
7482 0.000089 0.000162
7492 0.000095 0.000176
7502 0.000087 0.000163
7512 0.000082 0.000162
7522 0.000082 0.000167
7532 0.000081 0.000164
7542 0.000082 0.000161
7552 0.000082 0.000161
7562 0.000088 0.000165
7572 0.000083 0.000163
7582 0.000083 0.000164
7592 0.000082 0.000163
7602 0.000083 0.000163
7612 0.000092 0.000174
7622 0.000086 0.000167
7632 0.000084 0.000168
7642 0.000086 0.000161
7652 0.000087 0.000176
7662 0.000087 0.000165
7672 0.000083 0.000168
7682 0.000083 0.000166
7692 0.000083 0.000166
7702 0.000087 0.000172
7712 0.000084 0.000169
7722 0.000084 0.000172
7732 0.000083 0.000171
7742 0.000083 0.000167
7752 0.000084 0.000164
7762 0.000084 0.000170
7772 0.000084 0.000231
7782 0.000089 0.000175
7792 0.000090 0.000176
7802 0.000095 0.000175
7812 0.000097 0.000176
7822 0.000092 0.000182
7832 0.000092 0.000183
7842 0.000168 0.000186
7852 0.000090 0.000185
7862 0.000095 0.000179
7872 0.000097 0.000179
7882 0.000093 0.000184
7892 0.000092 0.000184
7902 0.000093 0.000180
7912 0.000169 0.000182
7922 0.000087 0.000176
7932 0.000092 0.000191
7942 0.000087 0.000172
7952 0.000087 0.000177
7962 0.000086 0.000170
7972 0.000093 0.000187
7982 0.000097 0.000177
7992 0.000094 0.000182
8002 0.000093 0.000184
8012 0.000094 0.000187
8022 0.000094 0.000188
8032 0.000093 0.000186
8042 0.000093 0.000182
8052 0.000096 0.000177
8062 0.000089 0.000174
8072 0.000090 0.000173
8082 0.000087 0.000175
8092 0.000108 0.000186
8102 0.000096 0.000187
8112 0.000097 0.000172
8122 0.000118 0.000187
8132 0.000094 0.000190
8142 0.000096 0.000182
8152 0.000097 0.000184
8162 0.000093 0.000184
8172 0.000091 0.000180
8182 0.000089 0.000182
8192 0.000097 0.000196
8202 0.000096 0.000188
8212 0.000100 0.000191
8222 0.000099 0.000189
8232 0.000107 0.000185
8242 0.000104 0.000215
8252 0.000105 0.000195
8262 0.000096 0.000189
8272 0.000097 0.000191
8282 0.000099 0.000190
8292 0.000096 0.000187
8302 0.000096 0.000185
8312 0.000096 0.000196
8322 0.000098 0.000196
8332 0.000102 0.000191
8342 0.000097 0.000192
8352 0.000102 0.000191
8362 0.000096 0.000183
8372 0.000121 0.000303
8382 0.000097 0.000188
8392 0.000098 0.000193
8402 0.000099 0.000194
8412 0.000099 0.000190
8422 0.000098 0.000186
8432 0.000093 0.000204
8442 0.000098 0.000197
8452 0.000100 0.000201
8462 0.000100 0.000202
8472 0.000099 0.000194
8482 0.000105 0.000212
8492 0.000097 0.000197
8502 0.000114 0.000196
8512 0.000100 0.000192
8522 0.000096 0.000190
8532 0.000102 0.000196
8542 0.000101 0.000200
8552 0.000098 0.000201
8562 0.000097 0.000207
8572 0.000100 0.000201
8582 0.000097 0.000191
8592 0.000094 0.000188
8602 0.000094 0.000192
8612 0.000093 0.000194
8622 0.000096 0.000196
8632 0.000098 0.000201
8642 0.000099 0.000211
8652 0.000105 0.000196
8662 0.000106 0.000187
8672 0.000110 0.000194
8682 0.000099 0.000197
8692 0.000096 0.000193
8702 0.000095 0.000191
8712 0.000094 0.000192
8722 0.000094 0.000190
8732 0.000094 0.000189
8742 0.000095 0.000190
8752 0.000101 0.000199
8762 0.000103 0.000199
8772 0.000109 0.000199
8782 0.000139 0.000197
8792 0.000101 0.000202
8802 0.000101 0.000200
8812 0.000100 0.000195
8822 0.000100 0.000429
8832 0.000111 0.000210
8842 0.000105 0.000198
8852 0.000100 0.000200
8862 0.000102 0.000201
8872 0.000098 0.000192
8882 0.000097 0.000195
8892 0.000103 0.000203
8902 0.000104 0.000204
8912 0.000107 0.000204
8922 0.000109 0.000211
8932 0.000119 0.000208
8942 0.000105 0.000210
8952 0.000108 0.000203
8962 0.000103 0.000218
8972 0.000105 0.000209
8982 0.000105 0.000209
8992 0.000126 0.000212
9002 0.000103 0.000210
9012 0.000106 0.000206
9022 0.000105 0.000206
9032 0.000104 0.000208
9042 0.000103 0.000203
9052 0.000106 0.000202
9062 0.000108 0.000219
9072 0.000105 0.000211
9082 0.000108 0.000212
9092 0.000106 0.000212
9102 0.000107 0.000215
9112 0.000106 0.000307
9122 0.000109 0.000212
9132 0.000106 0.000209
9142 0.000108 0.000210
9152 0.000107 0.000209
9162 0.000106 0.000237
9172 0.000104 0.000204
9182 0.000103 0.000204
9192 0.000100 0.000203
9202 0.000099 0.000202
9212 0.000099 0.000204
9222 0.000100 0.000204
9232 0.000214 0.000216
9242 0.000103 0.000203
9252 0.000101 0.000202
9262 0.000100 0.000200
9272 0.000100 0.000197
9282 0.000100 0.000200
9292 0.000100 0.000200
9302 0.000111 0.000218
9312 0.000101 0.000201
9322 0.000102 0.000202
9332 0.000101 0.000201
9342 0.000100 0.000201
9352 0.000100 0.000201
9362 0.000100 0.000209
9372 0.000101 0.000199
9382 0.000100 0.000201
9392 0.000111 0.000217
9402 0.000101 0.000204
9412 0.000102 0.000204
9422 0.000101 0.000203
9432 0.000101 0.000212
9442 0.000102 0.000203
9452 0.000107 0.000198
9462 0.000102 0.000204
9472 0.000102 0.000204
9482 0.000102 0.000204
9492 0.000106 0.000204
9502 0.000107 0.000204
9512 0.000102 0.000202
9522 0.000106 0.000206
9532 0.000107 0.000206
9542 0.000102 0.000207
9552 0.000106 0.000249
9562 0.000107 0.000204
9572 0.000107 0.000211
9582 0.000117 0.000227
9592 0.000108 0.000214
9602 0.000103 0.000207
9612 0.000104 0.000207
9622 0.000104 0.000207
9632 0.000104 0.000204
9642 0.000111 0.000221
9652 0.000104 0.000207
9662 0.000104 0.000209
9672 0.000109 0.000208
9682 0.000109 0.000209
9692 0.000110 0.000208
9702 0.000105 0.000210
9712 0.000108 0.000218
9722 0.000112 0.000217
9732 0.000107 0.000212
9742 0.000106 0.000212
9752 0.000112 0.000220
9762 0.000111 0.000219
9772 0.000112 0.000220
9782 0.000108 0.000212
9792 0.000112 0.000221
9802 0.000112 0.000220
9812 0.000114 0.000228
9822 0.000113 0.000231
9832 0.000114 0.000222
9842 0.000115 0.000225
9852 0.000114 0.000226
9862 0.000113 0.000231
9872 0.000111 0.000218
9882 0.000111 0.000212
9892 0.000111 0.000217
9902 0.000110 0.000218
9912 0.000107 0.000233
9922 0.000122 0.000222
9932 0.000115 0.000208
9942 0.000113 0.000216
9952 0.000113 0.000216
9962 0.000116 0.000212
9972 0.000111 0.000218
9982 0.000114 0.000235
9992 0.000111 0.000213
10002 0.000108 0.000219
12002 0.000131 0.000263
14002 0.000169 0.000296
16002 0.000173 0.000350
18002 0.000207 0.000428
20002 0.000255 0.000466
22002 0.000241 0.000495
24002 0.000271 0.000527
26002 0.000283 0.000587
28002 0.000304 0.000612
30002 0.000326 0.000665
32002 0.000347 0.000717
34002 0.000378 0.000895
36002 0.000419 0.000895
38002 0.000425 0.000864
40002 0.000438 0.001443
42002 0.000977 0.000937
44002 0.000503 0.000988
46002 0.000503 0.001031
48002 0.000526 0.001085
50002 0.000565 0.001123
52002 0.000571 0.001251
54002 0.000608 0.001224
56002 0.000625 0.001243
58002 0.000678 0.001308
60002 0.000662 0.001401
62002 0.000690 0.001505
64002 0.000721 0.001492
66002 0.000732 0.001485
68002 0.000750 0.001504
70002 0.000771 0.001731
72002 0.000868 0.001619
74002 0.000874 0.001673
76002 0.001158 0.001694
78002 0.000886 0.001777
80002 0.001261 0.001976
82002 0.001110 0.001879
84002 0.000959 0.001930
86002 0.001028 0.001933
88002 0.001022 0.002103
90002 0.001057 0.002160
92002 0.001068 0.002240
94002 0.001110 0.002558
96002 0.001127 0.002294
98002 0.001161 0.002228
100002 0.001170 0.002863
110002 0.001290 0.002638
120002 0.001946 0.002724
130002 0.001455 0.003095
140002 0.001688 0.003391
150002 0.001765 0.004041
160002 0.001901 0.003860
170002 0.002015 0.004919
180002 0.002224 0.004585
190002 0.002289 0.004629
200002 0.002391 0.004536
210002 0.002451 0.004922
220002 0.002656 0.005090
230002 0.002765 0.005602
240002 0.002736 0.006340
250002 0.002899 0.005752
260002 0.003001 0.005952
270002 0.003076 0.006951
280002 0.003410 0.006776
290002 0.003476 0.006697
300002 0.003419 0.007147
310002 0.003805 0.007149
320002 0.003729 0.007591
330002 0.003763 0.007733
340002 0.003873 0.007853
350002 0.004029 0.008093
360002 0.004113 0.008261
370002 0.004256 0.008529
380002 0.004578 0.008775
390002 0.004470 0.009094
400002 0.004654 0.009265
410002 0.004722 0.009500
420002 0.005396 0.009834
430002 0.004932 0.010146
440002 0.005144 0.010944
450002 0.005414 0.011450
460002 0.005633 0.011030
470002 0.005489 0.011037
